trialN,images1,duration1,images2,duration2,images3,duration3,correctAns,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,fixation.started,fixation.stopped,image1.started,image1.stopped,key_resp_1.keys,key_resp_1.corr,key_resp_1.started,key_resp_1.stopped,image.started,image.stopped,image_2.started,image_2.stopped,key_resp_2.keys,key_resp_2.corr,key_resp_2.started,key_resp_2.stopped,participant,session,date,expName,psychopyVersion,frameRate,
1,taskSamples\A6_1.png,8,None,0,None,0,1,0,0,0,0,6.710297599900514,None,7.498636599979363,None,None,0,7.498636599979363,None,15.497850479965564,None,15.497850479965564,None,None,0,15.497850479965564,None,,001,2021_Aug_20_1540,taskSwitching,2021.2.1,59.59912438381182,
2,taskSamples\A20_2.png,8,None,0,None,0,2,0,1,1,1,15.514456299948506,None,16.31680209992919,None,None,0,16.31680209992919,None,24.335853579977993,None,24.335853579977993,None,None,0,24.335853579977993,None,,001,2021_Aug_20_1540,taskSwitching,2021.2.1,59.59912438381182,
3,taskSamples\B17.png,5,None,0,None,0,2,0,2,2,2,24.33554150001146,None,25.15708719997201,None,None,0,25.15708719997201,None,30.161589279945474,None,30.161589279945474,None,None,0,30.161589279945474,None,,001,2021_Aug_20_1540,taskSwitching,2021.2.1,59.59912438381182,
4,taskSamples\B8.png,5,None,0,None,0,2,0,3,3,3,30.162662799935788,None,30.96668579999823,None,None,0,30.96668579999823,None,35.97892808000324,None,35.97892808000324,None,None,0,35.97892808000324,None,,001,2021_Aug_20_1540,taskSwitching,2021.2.1,59.59912438381182,
5,taskSamples\C4_Spatial_ADD_1.png,8,taskSamples\C4_Spatial_ADD_2.png,2,taskSamples\C4_Spatial_ADD_3.png,5,1,0,4,4,4,35.97904259990901,None,36.800522699952126,None,None,0,36.800522699952126,None,44.84103289991617,None,46.85942429990973,None,None,0,46.85942429990973,None,,001,2021_Aug_20_1540,taskSwitching,2021.2.1,59.59912438381182,
6,taskSamples\C3_Episodic_SUB_1.png,8,taskSamples\C3_Episodic_SUB_2.png,2,taskSamples\C3_Episodic_SUB_3.png,5,1,0,5,5,5,51.865001300000586,None,52.690624499926344,None,None,0,52.690624499926344,None,60.70756259991322,None,62.742962699965574,None,None,0,62.742962699965574,None,,001,2021_Aug_20_1540,taskSwitching,2021.2.1,59.59912438381182,
,,,,,,,,,,,,67.7472724999534,None,,,,,,,,,,,,,,,,,,,,,
