trial,feedback,reaction time,picture,participant,name,session,date,expName,psychopyVersion,
1,0,0.8150768000050448,pictures/material_new/4_3and3_1and1,11,11,11,2021_Apr_29_2014,Reinforcement_learning,2020.1.3,
2,0,4.10144020000007,pictures/material_new/6_1and3_1and2,11,11,11,2021_Apr_29_2014,Reinforcement_learning,2020.1.3,
3,0,1.6314091999956872,pictures/material_new/3_1and4_1and1,11,11,11,2021_Apr_29_2014,Reinforcement_learning,2020.1.3,
4,0,2.2552294000051916,pictures/material_new/4_1and6_3and2,11,11,11,2021_Apr_29_2014,Reinforcement_learning,2020.1.3,
5,0,0.9477401000040118,pictures/material_new/4_1and4_2and2,11,11,11,2021_Apr_29_2014,Reinforcement_learning,2020.1.3,
