level,trial,response,result,response time,passed,participant,name,session,date,expName,psychopyVersion
1,9,0,True,2.112114500021562,,1,1,1,2021_Sep_24_1353,task2,2020.1.3,
1,10,0,True,2.1823088999371976,,1,1,1,2021_Sep_24_1353,task2,2020.1.3,
1,11,1,True,1.9636300998972729,,1,1,1,2021_Sep_24_1353,task2,2020.1.3,
1,,,,,True,1,1,1,2021_Sep_24_1353,task2,2020.1.3,
2,1,1,False,4.2503314999630675,,1,1,1,2021_Sep_24_1353,task2,2020.1.3,
2,2,[],False,[],,1,1,1,2021_Sep_24_1353,task2,2020.1.3,
2,3,1,False,4.762863599928096,,1,1,1,2021_Sep_24_1353,task2,2020.1.3,
2,4,1,True,1.7330884999828413,,1,1,1,2021_Sep_24_1353,task2,2020.1.3,
2,5,[],False,[],,1,1,1,2021_Sep_24_1353,task2,2020.1.3,
2,6,2,True,4.1173479000572115,,1,1,1,2021_Sep_24_1353,task2,2020.1.3,
2,7,0,True,5.19954229996074,,1,1,1,2021_Sep_24_1353,task2,2020.1.3,
2,8,2,True,1.5620479000499472,,1,1,1,2021_Sep_24_1353,task2,2020.1.3,
2,9,0,True,5.08096559997648,,1,1,1,2021_Sep_24_1353,task2,2020.1.3,
2,10,2,True,5.120373500045389,,1,1,1,2021_Sep_24_1353,task2,2020.1.3,
2,11,0,True,2.762894899933599,,1,1,1,2021_Sep_24_1353,task2,2020.1.3,
2,12,1,True,1.1305369000183418,,1,1,1,2021_Sep_24_1353,task2,2020.1.3,
2,,,,,True,1,1,1,2021_Sep_24_1353,task2,2020.1.3,
