trial,feedback,reaction time,difficulty,question,screen1,screen2,screen3,screen4,participant,name,session,date,expName,psychopyVersion,
1,0,1.335696900030598,1,"佩奇在家里做了
多少道数学题？","学校今天留了77道
数学题","我今天上午在学校
做了52道数学题","佩奇晚上在家里
做了4道数学题","我还有21道题
没做完",2106,yaoyaxin,1,2021_Mar_26_1317,NNG,2020.1.3,
2,1,2.5362050000112504,1,"佩奇下午做了
多少道数学题？","学校今天留了34道
数学题","我今天上午在学校
做了23道数学题","佩奇晚上在家里
做了9道数学题","我还有2道题
没做完",2106,yaoyaxin,1,2021_Mar_26_1317,NNG,2020.1.3,
3,0,1.0005552000366151,1,"佩奇上午做了
多少道数学题？","学校今天留了81道
数学题","我今天上午在学校
做了53道数学题","佩奇晚上在家里
做了10道数学题","我还有18道题
没做完",2106,yaoyaxin,1,2021_Mar_26_1317,NNG,2020.1.3,
4,0,2.228786699939519,1,"佩奇下午做了
多少道数学题？","学校今天留了63道
数学题","我今天上午在学校
做了25道数学题","佩奇晚上在家里
做了8道数学题","我还有30道题
没做完",2106,yaoyaxin,1,2021_Mar_26_1317,NNG,2020.1.3,
