trial,feedback,reaction time,difficulty,question,screen1,screen2,screen3,screen4,participant,name,session,date,expName,psychopyVersion,
1,0,2.237374999996973,1,"佩奇上午做了
多少道数学题？","学校今天留了
10道数学题","我今天上午在学校
做了3道数学题","佩奇晚上在家里
做了5道数学题","我还有2道题
没做完",1,1,1,2021_Apr_29_1723,Peppa,2020.1.3,
﻿trial,feedback,reaction time,difficulty,question,screen1,screen2,screen3,screen4,participant,name,session,date,expName,psychopyVersion,
1,1,2.587711499996658,1,"佩奇有几道数
学题没做完?","学校今天留了
34道数学题","我今天上午在学校
做了13道数学题","佩奇晚上在家里
做了15道数学题","我还有6道题
没做完",1,1,1,2021_Apr_29_1734,Peppa,2020.1.3,
