1.2210 	WARNING 	We strongly recommend you activate the PTB sound engine in PsychoPy prefs as the preferred audio engine. Its timing is vastly superior. Your prefs are currently set to use ['sounddevice', 'PTB', 'pyo', 'pygame'] (in that order).
29.2816 	DATA 	Keypress: 1
29.4112 	DATA 	Keypress: 2
29.5481 	DATA 	Keypress: 1
29.6623 	DATA 	Keypress: 2
29.8951 	DATA 	Keypress: 1
30.0321 	DATA 	Keypress: 2
30.1954 	DATA 	Keypress: 1
30.3622 	DATA 	Keypress: 2
30.5128 	DATA 	Keypress: 1
30.6119 	DATA 	Keypress: 2
30.7802 	DATA 	Keypress: 1
31.6345 	EXP 	New trial (rep=0, index=3): {'trialN': 4, 'images1': 'taskSamples\\B8.png', 'duration1': 5, 'images2': None, 'duration2': 0, 'images3': None, 'duration3': 0, 'correctAns': 2}
31.6446 	EXP 	image1: autoDraw = False
31.6446 	EXP 	image1: autoDraw = False
31.6446 	EXP 	image: autoDraw = True
31.6446 	EXP 	image: autoDraw = False
31.6446 	EXP 	image: autoDraw = False
31.6446 	EXP 	image_2: autoDraw = True
31.6446 	EXP 	image_2: autoDraw = False
31.6446 	EXP 	image_2: autoDraw = False
31.6446 	EXP 	fixation: autoDraw = True
31.8351 	DATA 	Keypress: 2
32.4663 	EXP 	fixation: autoDraw = False
32.4663 	EXP 	fixation: autoDraw = False
32.4663 	EXP 	image1: autoDraw = True
33.1259 	DATA 	Keypress: 1
33.1877 	DATA 	Keypress: 2
33.3688 	DATA 	Keypress: 1
33.5361 	DATA 	Keypress: 2
37.4585 	EXP 	New trial (rep=0, index=4): {'trialN': 5, 'images1': 'taskSamples\\C1_Spatial_ADD_1.png', 'duration1': 8, 'images2': 'taskSamples\\C1_Spatial_ADD_2.png', 'duration2': 2, 'images3': 'taskSamples\\C1_Spatial_ADD_3.png', 'duration3': 5, 'correctAns': 2}
37.4687 	EXP 	image1: autoDraw = False
37.4687 	EXP 	image1: autoDraw = False
37.4687 	EXP 	image: autoDraw = True
37.4687 	EXP 	image: autoDraw = False
37.4687 	EXP 	image: autoDraw = False
37.4687 	EXP 	image_2: autoDraw = True
37.4687 	EXP 	image_2: autoDraw = False
37.4687 	EXP 	image_2: autoDraw = False
37.4687 	EXP 	fixation: autoDraw = True
38.3112 	EXP 	fixation: autoDraw = False
38.3112 	EXP 	fixation: autoDraw = False
38.3112 	EXP 	image1: autoDraw = True
39.5902 	DATA 	Keypress: 1
40.0860 	DATA 	Keypress: 2
46.3306 	EXP 	image1: autoDraw = False
46.3306 	EXP 	image1: autoDraw = False
46.3306 	EXP 	image: autoDraw = True
48.3658 	EXP 	image: autoDraw = False
48.3658 	EXP 	image: autoDraw = False
48.3658 	EXP 	image_2: autoDraw = True
49.3268 	DATA 	Keypress: 1
49.8061 	DATA 	Keypress: 2
50.4057 	DATA 	Keypress: 1
50.5924 	DATA 	Keypress: 2
50.7385 	DATA 	Keypress: 1
50.8730 	DATA 	Keypress: 2
53.3749 	EXP 	New trial (rep=0, index=5): {'trialN': 6, 'images1': 'taskSamples\\C5_Episodic_SUB_1.png', 'duration1': 8, 'images2': 'taskSamples\\C5_Episodic_SUB_2.png', 'duration2': 2, 'images3': 'taskSamples\\C5_Episodic_SUB_3.png', 'duration3': 5, 'correctAns': 2}
53.3877 	EXP 	image_2: autoDraw = False
53.3877 	EXP 	image_2: autoDraw = False
53.3877 	EXP 	fixation: autoDraw = True
54.2293 	EXP 	fixation: autoDraw = False
54.2293 	EXP 	fixation: autoDraw = False
54.2293 	EXP 	image1: autoDraw = True
62.2656 	EXP 	image1: autoDraw = False
62.2656 	EXP 	image1: autoDraw = False
62.2656 	EXP 	image: autoDraw = True
64.3176 	EXP 	image: autoDraw = False
64.3176 	EXP 	image: autoDraw = False
64.3176 	EXP 	image_2: autoDraw = True
67.5438 	DATA 	Keypress: escape
67.7561 	EXP 	window1: mouseVisible = True
