1.1851 	WARNING 	We strongly recommend you activate the PTB sound engine in PsychoPy prefs as the preferred audio engine. Its timing is vastly superior. Your prefs are currently set to use ['sounddevice', 'PTB', 'pyo', 'pygame'] (in that order).
6.2713 	EXP 	Created window1 = Window(allowGUI=False, allowStencil=False, autoLog=True, backendConf=UNKNOWN, bitsMode=UNKNOWN, blendMode='avg', bpc=(8, 8, 8), color=array([-1., -1., -1.]), colorSpace='rgb', depthBits=8, fullscr=<method-wrapper '__getattribute__' of attributeSetter object at 0x0000023926049128>, gamma=None, gammaErrorPolicy='raise', lms=UNKNOWN, monitor=<psychopy.monitors.calibTools.Monitor object at 0x000002392600B5F8>, multiSample=False, name='window1', numSamples=2, pos=[0.0, 0.0], screen=0, size=array([1920, 1080]), stencilBits=0, stereo=False, units='height', useFBO=True, useRetina=False, viewOri=0.0, viewPos=None, viewScale=None, waitBlanking=True, winType='pyglet')
6.2720 	EXP 	window1: mouseVisible = True
6.2721 	EXP 	window1: recordFrameIntervals = False
6.4363 	EXP 	window1: recordFrameIntervals = True
6.6202 	EXP 	window1: recordFrameIntervals = False
6.9511 	EXP 	Created fixation = ImageStim(__class__=<class 'psychopy.visual.image.ImageStim'>, autoLog=True, color=array([1., 1., 1.]), colorSpace='rgb', contrast=1.0, depth=0.0, flipHoriz=False, flipVert=False, image='taskSamples/Fixation.png', interpolate=True, mask=None, maskParams=None, name='fixation', opacity=1, ori=0.0, pos=array([0., 0.]), size=array([0.8, 0.7]), texRes=128.0, units='height', win=Window(...))
6.9533 	EXP 	Created image1 = ImageStim(__class__=<class 'psychopy.visual.image.ImageStim'>, autoLog=True, color=array([1., 1., 1.]), colorSpace='rgb', contrast=1.0, depth=0.0, flipHoriz=False, flipVert=False, image='sin', interpolate=True, mask=None, maskParams=None, name='image1', opacity=1, ori=0.0, pos=array([0., 0.]), size=array([0.8, 0.7]), texRes=128.0, units='height', win=Window(...))
6.9552 	EXP 	Created image = ImageStim(__class__=<class 'psychopy.visual.image.ImageStim'>, autoLog=True, color=array([1., 1., 1.]), colorSpace='rgb', contrast=1.0, depth=0.0, flipHoriz=False, flipVert=False, image='sin', interpolate=True, mask=None, maskParams=None, name='image', opacity=1, ori=0.0, pos=array([0., 0.]), size=array([0.8, 0.7]), texRes=128.0, units='height', win=Window(...))
6.9572 	EXP 	Created image_2 = ImageStim(__class__=<class 'psychopy.visual.image.ImageStim'>, autoLog=True, color=array([1., 1., 1.]), colorSpace='rgb', contrast=1.0, depth=0.0, flipHoriz=False, flipVert=False, image='sin', interpolate=True, mask=None, maskParams=None, name='image_2', opacity=1, ori=0.0, pos=array([0., 0.]), size=array([0.8, 0.7]), texRes=128.0, units='height', win=Window(...))
6.9811 	EXP 	Imported trial.xlsx as conditions, 50 conditions, 8 params
6.9815 	EXP 	Created sequence: sequential, trialTypes=50, nReps=1, seed=None
6.9817 	EXP 	New trial (rep=0, index=0): {'trialN': 1, 'images1': 'taskSamples\\A6_1.png', 'duration1': 8, 'images2': None, 'duration2': 0, 'images3': None, 'duration3': 0, 'correctAns': 1}
7.0141 	EXP 	fixation: autoDraw = True
7.8234 	EXP 	fixation: autoDraw = False
7.8234 	EXP 	image1: autoDraw = True
10.0566 	DATA 	Keypress: num_1
13.0744 	DATA 	Keypress: num_1
13.3094 	DATA 	Keypress: num_2
13.5265 	DATA 	Keypress: num_2
14.0925 	DATA 	Keypress: 1
14.4056 	DATA 	Keypress: 1
14.9669 	DATA 	Keypress: 1
15.1617 	DATA 	Keypress: 1
15.3472 	DATA 	Keypress: 2
15.6493 	DATA 	Keypress: 2
15.8121 	DATA 	Keypress: 1
15.8410 	EXP 	New trial (rep=0, index=1): {'trialN': 2, 'images1': 'taskSamples\\A20_2.png', 'duration1': 8, 'images2': None, 'duration2': 0, 'images3': None, 'duration3': 0, 'correctAns': 2}
15.8603 	EXP 	image1: autoDraw = False
15.8603 	EXP 	image1: autoDraw = False
15.8603 	EXP 	image: autoDraw = True
15.8603 	EXP 	image: autoDraw = False
15.8603 	EXP 	image: autoDraw = False
15.8603 	EXP 	image_2: autoDraw = True
15.8603 	EXP 	image_2: autoDraw = False
15.8603 	EXP 	image_2: autoDraw = False
15.8603 	EXP 	fixation: autoDraw = True
15.9793 	DATA 	Keypress: 1
16.1635 	DATA 	Keypress: 2
16.6638 	EXP 	fixation: autoDraw = False
16.6638 	EXP 	image1: autoDraw = True
17.5064 	DATA 	Keypress: 1
17.7406 	DATA 	Keypress: 1
17.7408 	DATA 	Keypress: 2
17.9462 	DATA 	Keypress: 1
18.1031 	DATA 	Keypress: 2
18.2922 	DATA 	Keypress: 1
18.3603 	DATA 	Keypress: 2
18.4994 	DATA 	Keypress: 1
18.6258 	DATA 	Keypress: 2
18.8261 	DATA 	Keypress: 1
18.8609 	DATA 	Keypress: 2
19.0257 	DATA 	Keypress: 1
19.1427 	DATA 	Keypress: 2
19.2431 	DATA 	Keypress: 1
19.3801 	DATA 	Keypress: 2
19.5746 	DATA 	Keypress: 1
19.7754 	DATA 	Keypress: 1
19.9622 	DATA 	Keypress: 1
20.1782 	DATA 	Keypress: 2
20.1797 	DATA 	Keypress: 1
20.3265 	DATA 	Keypress: 2
20.4940 	DATA 	Keypress: 1
20.6486 	DATA 	Keypress: 2
21.0056 	DATA 	Keypress: 2
21.1614 	DATA 	Keypress: 1
22.0644 	DATA 	Keypress: 1
22.2609 	DATA 	Keypress: 2
22.4623 	DATA 	Keypress: 1
22.5292 	DATA 	Keypress: 2
22.6948 	DATA 	Keypress: 1
24.6535 	EXP 	New trial (rep=0, index=2): {'trialN': 3, 'images1': 'taskSamples\\B17.png', 'duration1': 5, 'images2': None, 'duration2': 0, 'images3': None, 'duration3': 0, 'correctAns': 2}
24.6625 	EXP 	image1: autoDraw = False
24.6625 	EXP 	image1: autoDraw = False
24.6625 	EXP 	image: autoDraw = True
24.6625 	EXP 	image: autoDraw = False
24.6625 	EXP 	image: autoDraw = False
24.6625 	EXP 	image_2: autoDraw = True
24.6625 	EXP 	image_2: autoDraw = False
24.6625 	EXP 	image_2: autoDraw = False
24.6625 	EXP 	fixation: autoDraw = True
24.8032 	DATA 	Keypress: 2
24.8825 	DATA 	Keypress: 1
25.0644 	DATA 	Keypress: 2
25.1829 	DATA 	Keypress: 1
25.5050 	EXP 	fixation: autoDraw = False
25.5050 	EXP 	fixation: autoDraw = False
25.5050 	EXP 	image1: autoDraw = True
26.1857 	DATA 	Keypress: 1
26.3967 	DATA 	Keypress: 1
26.4279 	DATA 	Keypress: 2
26.5959 	DATA 	Keypress: 1
26.7622 	DATA 	Keypress: 2
26.9378 	DATA 	Keypress: 1
27.0958 	DATA 	Keypress: 2
27.2620 	DATA 	Keypress: 1
27.6623 	DATA 	Keypress: 2
27.6624 	DATA 	Keypress: 1
27.8884 	DATA 	Keypress: 1
28.0463 	DATA 	Keypress: 2
28.2130 	DATA 	Keypress: 1
28.4476 	DATA 	Keypress: 2
28.6323 	DATA 	Keypress: 1
28.8990 	DATA 	Keypress: 2
28.9533 	DATA 	Keypress: 1
29.5695 	DATA 	Keypress: 1
29.5709 	DATA 	Keypress: 2
29.7652 	DATA 	Keypress: 2
30.1511 	DATA 	Keypress: 1
30.3852 	DATA 	Keypress: 2
30.5199 	EXP 	New trial (rep=0, index=3): {'trialN': 4, 'images1': 'taskSamples\\B8.png', 'duration1': 5, 'images2': None, 'duration2': 0, 'images3': None, 'duration3': 0, 'correctAns': 2}
30.5301 	EXP 	image1: autoDraw = False
30.5301 	EXP 	image1: autoDraw = False
30.5301 	EXP 	image: autoDraw = True
30.5301 	EXP 	image: autoDraw = False
30.5301 	EXP 	image: autoDraw = False
30.5301 	EXP 	image_2: autoDraw = True
30.5301 	EXP 	image_2: autoDraw = False
30.5301 	EXP 	image_2: autoDraw = False
30.5301 	EXP 	fixation: autoDraw = True
30.5989 	DATA 	Keypress: 1
31.3344 	EXP 	fixation: autoDraw = False
31.3344 	EXP 	fixation: autoDraw = False
31.3344 	EXP 	image1: autoDraw = True
31.5320 	DATA 	Keypress: 1
31.8840 	DATA 	Keypress: 2
32.3030 	DATA 	Keypress: 1
32.5491 	DATA 	Keypress: 2
33.0090 	DATA 	Keypress: 1
33.3664 	DATA 	Keypress: 1
33.4899 	DATA 	Keypress: 2
33.6677 	DATA 	Keypress: 1
33.8675 	DATA 	Keypress: 2
34.0196 	DATA 	Keypress: 1
34.2011 	DATA 	Keypress: 2
34.3017 	DATA 	Keypress: 1
34.5347 	DATA 	Keypress: 2
34.7755 	DATA 	Keypress: 1
35.5387 	DATA 	Keypress: 1
35.6383 	DATA 	Keypress: 2
35.9198 	DATA 	Keypress: 1
36.0280 	DATA 	Keypress: 2
36.1719 	DATA 	Keypress: 1
36.3245 	EXP 	New trial (rep=0, index=4): {'trialN': 5, 'images1': 'taskSamples\\C1_Spatial_ADD_1.png', 'duration1': 8, 'images2': 'taskSamples\\C1_Spatial_ADD_2.png', 'duration2': 2, 'images3': 'taskSamples\\C1_Spatial_ADD_3.png', 'duration3': 5, 'correctAns': 2}
36.3346 	EXP 	image1: autoDraw = False
36.3346 	EXP 	image1: autoDraw = False
36.3346 	EXP 	image: autoDraw = True
36.3346 	EXP 	image: autoDraw = False
36.3346 	EXP 	image: autoDraw = False
36.3346 	EXP 	image_2: autoDraw = True
36.3346 	EXP 	image_2: autoDraw = False
36.3346 	EXP 	image_2: autoDraw = False
